step,loss,lrm,tok_per_sec
198,5.591962,1.0,30127
199,5.539353,1.0,30140
200,5.54381,1.0,30142
201,5.519813,1.0,30138
202,5.533957,1.0,30085
203,5.652404,1.0,30142
204,5.786017,1.0,30144
205,5.848841,1.0,29297
206,5.700048,1.0,30163
207,5.562091,1.0,30147
208,5.725226,1.0,29446
209,5.82448,1.0,30140
210,5.927759,1.0,30147
211,6.0259,1.0,30139
212,5.883515,1.0,30048
213,5.736211,1.0,28699
214,5.685931,1.0,30159
215,5.606652,1.0,30152
216,5.599592,1.0,30143
217,5.517247,1.0,30136
218,5.516803,1.0,30159
219,5.569655,1.0,30146
220,5.707471,1.0,30135
221,5.736361,1.0,30143
222,5.86405,1.0,30138
223,5.933942,1.0,30135
224,5.99512,1.0,30142
225,6.06383,1.0,30121
226,6.101472,1.0,30134
227,6.170648,1.0,30133
228,6.050964,1.0,30049
229,5.874008,1.0,30132
230,5.863649,1.0,29623
231,5.754371,1.0,30145
232,5.67876,1.0,30147
233,5.59657,1.0,30136
234,5.715523,1.0,30136
235,5.81486,1.0,29667
236,5.67343,1.0,29238
237,5.662456,1.0,30133
238,5.566383,1.0,30147
239,5.587074,1.0,30154
240,5.708888,1.0,30135
241,5.592178,1.0,26991
242,5.604337,1.0,30162
243,5.721798,1.0,30140
244,5.68371,1.0,30142
245,5.710179,1.0,30073
246,5.552174,1.0,30138
247,5.484941,1.0,30135
248,5.437374,1.0,30146
249,5.503795,1.0,29933
250,5.431959,1.0,30078
251,5.391918,1.0,30146
252,5.299063,1.0,30009
253,5.290036,1.0,30132
254,5.368103,1.0,30162
255,5.329844,1.0,30133
256,5.213148,1.0,30121
257,5.252598,1.0,30137
258,5.35802,1.0,30133
259,5.278801,1.0,28554
260,5.413935,1.0,30120
261,5.386897,1.0,30137
262,5.499769,1.0,30135
263,5.491742,1.0,30143
264,5.358911,1.0,30145
265,5.277221,1.0,30117
266,5.26469,1.0,30160
267,5.246295,1.0,30138
268,5.196321,1.0,29660
269,5.177623,1.0,29964
270,5.152132,1.0,30133
271,5.100898,1.0,30128
272,5.132326,1.0,30010
273,5.16151,1.0,30147
274,5.304966,1.0,30069
275,5.293959,1.0,30139
276,5.1875,1.0,30030
277,5.330252,1.0,30134
278,5.446308,1.0,29941
279,5.445697,1.0,30135
280,5.425616,1.0,30140
281,5.523557,1.0,30145
282,5.493147,1.0,30133
283,5.288876,1.0,30145
284,5.254239,1.0,30145
285,5.280254,1.0,30145
286,5.293012,1.0,30136
287,5.35069,1.0,30061
288,5.362053,1.0,30103
289,5.271255,1.0,30138
290,5.233503,1.0,30159
291,5.221001,1.0,30152
292,5.214871,1.0,30137
293,5.194274,1.0,30147
294,5.107194,1.0,30148
295,5.166852,1.0,30140
296,5.283219,1.0,30137
297,5.388273,1.0,30145
298,5.475495,1.0,30152
299,5.325157,1.0,30151
300,5.206709,1.0,30148
301,5.241103,1.0,30144
302,5.268646,1.0,30113
303,5.173689,1.0,30133
304,5.100672,1.0,30118
305,5.005483,1.0,28797
306,4.977507,1.0,30138
307,5.154327,1.0,30144
308,5.269013,1.0,30148
309,5.165562,1.0,30154
310,5.090853,1.0,30164
311,5.126329,1.0,30153
312,4.987604,1.0,29977
313,5.079388,1.0,30134
314,5.218885,1.0,30159
315,5.299865,1.0,30139
316,5.12879,1.0,30151
317,4.985194,1.0,30153
318,4.882021,1.0,30147
319,4.90088,1.0,30149
320,4.893018,1.0,30151
321,4.825414,1.0,30139
322,4.774481,1.0,30156
323,4.774914,1.0,30146
324,4.849008,1.0,30144
325,4.870455,1.0,30157
326,5.018576,1.0,30162
327,5.152424,1.0,30137
328,5.258229,1.0,30145
329,5.259295,1.0,30004
330,5.336444,1.0,30137
331,5.405066,1.0,30151
332,5.449354,1.0,30120
333,5.280114,1.0,30141
334,5.175894,1.0,29984
335,5.141915,1.0,30149
336,5.112646,1.0,29668
337,5.091119,1.0,30141
338,5.076522,1.0,30149
339,4.9679,1.0,30152
340,4.873447,1.0,30151
341,4.813127,1.0,30153
342,4.717353,1.0,30154
343,4.618352,1.0,29838
344,4.636326,1.0,30149
345,4.522343,1.0,30126
346,4.498445,1.0,30149
347,4.606699,1.0,30153
348,4.731376,1.0,30144
349,4.860815,1.0,30144
350,5.012118,1.0,29865
351,5.061289,1.0,29968
352,5.19011,1.0,28819
353,5.210546,1.0,30098
354,5.279369,1.0,30154
355,5.165376,1.0,30148
356,5.039553,1.0,30156
357,4.965256,1.0,30149
358,4.952395,1.0,30131
359,4.913887,1.0,30155
360,5.051857,1.0,30151
361,5.163244,1.0,30155
362,5.151304,1.0,30138
363,5.042879,1.0,30146
364,4.911393,1.0,30146
365,4.933289,1.0,30009
366,5.0578,1.0,30152
367,5.170141,1.0,28289
368,5.223297,1.0,30156
369,5.103114,1.0,30144
370,5.220466,1.0,30140
371,5.250035,1.0,30150
372,5.173393,1.0,30143
373,5.050398,1.0,30147
374,5.034935,1.0,30163
375,4.995713,1.0,30027
376,4.898998,1.0,27354
377,4.809139,1.0,30146
378,4.827573,1.0,30151
379,4.712075,1.0,30158
380,4.69016,1.0,30158
381,4.567507,1.0,30157
382,4.567617,1.0,30160
383,4.499753,1.0,30140
384,4.572903,1.0,30144
385,4.733237,1.0,30159
386,4.834475,1.0,30163
387,4.721096,1.0,30149
388,4.649146,1.0,30152
389,4.638857,1.0,30137
390,4.625276,1.0,30140
391,4.656949,1.0,30138
392,4.632854,1.0,30149
393,4.785125,1.0,30126
394,4.93112,1.0,30150
395,4.870355,1.0,29783
396,4.771637,1.0,30158
397,4.708541,1.0,30159
398,4.708202,1.0,28695
399,4.696985,1.0,30142
400,4.691337,1.0,30149
401,4.62532,1.0,30159
402,4.622599,1.0,30166
403,4.768997,1.0,30150
404,4.912075,1.0,30145
405,4.804147,1.0,30030
406,4.79135,1.0,29826
407,4.828221,1.0,30149
408,4.946907,1.0,30152
409,5.064646,1.0,30159
410,5.180331,1.0,30152
411,5.142493,1.0,30130
412,5.010149,1.0,30151
413,5.116189,1.0,29969
414,5.204957,1.0,30152
415,5.291259,1.0,30080
416,5.282525,1.0,25394
417,5.334389,1.0,30158
418,5.271338,1.0,30133
419,5.147561,1.0,30115
420,5.261726,1.0,30159
421,5.329828,1.0,27496
422,5.140344,1.0,30165
423,5.062178,1.0,30156
424,5.085922,1.0,30156
425,5.200544,1.0,30165
